"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","test_get_all_users_status_code","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","0","test_user_model_invalid_data","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","22","test_user_names[Ervin Howell]","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","158","test_user_names[Leanne Graham]","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","50","test_create_user","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","54","test_create_user_with_invalid_email","tests","Mon Dec 29 20:09:27 UTC 2025","failed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","50","test_delete_functionality","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","21","test_user_names[Clementine Bauch]","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","19","test_get_user_by_id","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
"","12","test_user_data_contains_id","tests","Mon Dec 29 20:09:27 UTC 2025","passed","Mon Dec 29 20:09:27 UTC 2025","","test_users","",""
